Kategori,Model,Slug,Varian,Harga Referensi (Rp),Dasar Harga,Warna Tampil,Catatan,Sumber Yamaha,Tanggal Akses,Path Gambar Placeholder
MAXI,XMAX 250,xmax-250,XMAX 250 Connected,70015000,Harga Rekomendasi OTR Jakarta,Metallic Blue,,https://www.yamaha-motor.co.id/product/xmax-connected/,2026-08-07,images/produk/xmax-250.webp
CLASSY,Fazzio,fazzio,"Special Edition ""Sunset Blue""",23150000,Harga Rekomendasi OTR Jakarta,Go Purple,,https://www.yamaha-motor.co.id/product/fazzio/,2026-08-07,images/produk/fazzio.webp
CLASSY,Fazzio,fazzio,"Special Edition ""Starry Night""",25250000,Harga Rekomendasi OTR Jakarta,Go Purple,,https://www.yamaha-motor.co.id/product/fazzio/,2026-08-07,images/produk/fazzio.webp
CLASSY,Fazzio,fazzio,Hybrid Lux,25095000,Harga Rekomendasi OTR Jakarta,Go Purple,,https://www.yamaha-motor.co.id/product/fazzio/,2026-08-07,images/produk/fazzio.webp
CLASSY,Fazzio,fazzio,Hybrid Neo,24405000,Harga Rekomendasi OTR Jakarta,Go Purple,,https://www.yamaha-motor.co.id/product/fazzio/,2026-08-07,images/produk/fazzio.webp
CLASSY,Fazzio,fazzio,Hybrid,22820000,Harga Rekomendasi OTR Jakarta,Go Purple,,https://www.yamaha-motor.co.id/product/fazzio/,2026-08-07,images/produk/fazzio.webp
CLASSY,Grand Filano,grand-filano,Hybrid Lux,29145000,Harga Rekomendasi OTR Jakarta,Royal Iron,,https://www.yamaha-motor.co.id/product/grand-filano/,2026-08-07,images/produk/grand-filano.webp
CLASSY,Grand Filano,grand-filano,Hybrid Neo,28665000,Harga Rekomendasi OTR Jakarta,Royal Iron,,https://www.yamaha-motor.co.id/product/grand-filano/,2026-08-07,images/produk/grand-filano.webp
MATIC,Fino 125,fino-125,Grande,21610000,Harga Rekomendasi OTR Jakarta,Luxury Red,,https://www.yamaha-motor.co.id/product/fino/,2026-08-07,images/produk/fino-125.webp
MATIC,Fino 125,fino-125,Premium,20400000,Harga Rekomendasi OTR Jakarta,Luxury Red,,https://www.yamaha-motor.co.id/product/fino/,2026-08-07,images/produk/fino-125.webp
MATIC,Fino 125,fino-125,Sporty,20400000,Harga Rekomendasi OTR Jakarta,Luxury Red,,https://www.yamaha-motor.co.id/product/fino/,2026-08-07,images/produk/fino-125.webp
MATIC,FreeGo 125,freego-125,Connected,24650000,Harga Rekomendasi OTR Jakarta,Magma Black,,https://www.yamaha-motor.co.id/product/freego-125/,2026-08-07,images/produk/freego-125.webp
